Time,Node,InInterests,InData,InNacks,InSatisfiedInterests,InTimedOutInterests,OutInterests,OutData,OutNacks,OutSatisfiedInterests,OutTimedOutInterests,Label,interest_rate,data_rate,satisfaction_ratio,timeout_ratio,nack_ratio,pit_estimate
51.0,Node_3,1471,39,22,39,1410,1471,39,22,39,1410,IFA,1471,39,0.026512576460562487,0.9585316104972592,0.014955812362368584,6674.310060900847
52.0,Node_5,747,46,56,46,645,747,46,56,46,645,Distributed_IFA,747,46,0.06157965185866178,0.8634538141051489,0.0749665326975013,3053.1418343578875
53.0,Node_1,378,60,12,60,306,378,60,12,60,306,Slow_IFA,378,60,0.15873015831023768,0.8095238073822122,0.031746031662047536,1448.4672869652825
54.0,Node_8,538,35,41,35,462,538,35,41,35,462,Distributed_IFA,538,35,0.06505576196086289,0.8587360578833902,0.07620817829701082,2186.901591844635
55.0,Node_8,77,69,1,69,7,77,69,1,69,7,Normal,77,69,0.8961038844661834,0.09090908972845338,0.012987012818350484,33.134872234972555
56.0,Node_4,910,40,42,40,828,910,40,42,40,828,IFA,910,40,0.04395604390774061,0.9098901088902307,0.046153846103127644,3919.382076673663
57.0,Node_3,571,401,17,401,153,571,401,17,401,153,Cache_Pollution,571,401,0.7022767063007413,0.26795096275315067,0.02977232919479452,724.233644130243
58.0,Node_0,69,65,0,65,4,69,65,0,65,4,Normal,69,65,0.9420289718546526,0.05797101365259401,0.0,18.934212677188594
59.0,Node_0,1346,50,31,50,1265,1346,50,31,50,1265,IFA,1346,50,0.037147102498404826,0.939821693209642,0.02303120354901099,5987.944841494003
60.0,Node_6,47,42,23,42,0,47,42,23,42,0,Pulsing_IFA,47,42,0.8936170022634681,0.0,0.4893616917157087,0.0
61.0,Node_8,135,129,3,129,3,135,129,3,129,3,Normal,135,129,0.9555555484773663,0.02222222205761317,0.02222222205761317,14.200659608508031
62.0,Node_8,319,72,17,72,230,319,72,17,72,230,Slow_IFA,319,72,0.2257053284460648,0.7210031325360403,0.05329153588309864,1088.7172413039477
63.0,Node_5,170,161,5,161,4,170,161,5,161,4,Normal,170,161,0.9470588179584776,0.02352941162629758,0.029411764532871972,18.93421284021975
64.0,Node_7,151,143,5,143,3,151,143,5,143,3,Normal,151,143,0.9470198612780142,0.019867549537300997,0.03311258256216833,14.200659619654
65.0,Node_3,1404,41,58,41,1305,1404,41,58,41,1305,IFA,1404,41,0.029202279181479857,0.9294871788251515,0.041310541281117844,6177.2869710588975
66.0,Node_2,27,26,41,26,0,27,26,41,26,0,Pulsing_IFA,27,26,0.9629629272976693,0.0,1.518518462277094,0.0
67.0,Node_6,197,189,1,189,7,197,189,1,189,7,Normal,197,189,0.9593908580741581,0.03553299474348734,0.005076142106212477,33.13487249709825
68.0,Node_7,101,91,1,91,9,101,91,1,91,9,Normal,101,91,0.900990090089207,0.08910891000882268,0.009900990000980298,42.601978719292546
69.0,Node_8,800,32,69,32,699,800,32,69,32,699,IFA,800,32,0.039999999950000004,0.8737499989078125,0.0862499998921875,3308.753709155715
70.0,Node_0,438,334,12,334,92,438,334,12,334,92,Cache_Pollution,438,334,0.7625570758845729,0.21004566162090033,0.02739726021142178,435.48689689247954
71.0,Node_0,643,80,42,80,521,643,80,42,80,521,Distributed_IFA,643,80,0.12441679607400187,0.8102643844319372,0.06531881793885098,2466.181233110141
72.0,Node_7,113,105,1,105,7,113,105,1,105,7,Normal,113,105,0.9292035315999687,0.061946902106664585,0.008849557443809226,33.13487237206662
73.0,Node_7,958,46,75,46,837,958,46,75,46,837,IFA,958,46,0.04801670141125605,0.8736951974178547,0.07828810012704791,3961.984055986088
74.0,Node_4,61,56,3,56,2,61,56,3,56,2,Normal,61,56,0.9180327718355283,0.03278688470841173,0.049180327062617595,9.467106320600271
75.0,Node_5,174,164,5,164,5,174,164,5,164,5,Normal,174,164,0.9425287302153521,0.028735632018760737,0.028735632018760737,23.667766053475194
76.0,Node_7,530,30,23,30,477,530,30,23,30,477,Distributed_IFA,530,30,0.056603773478106086,0.8999999983018868,0.04339622633321467,2257.9048902178006
77.0,Node_8,106,101,0,101,5,106,101,0,101,5,Normal,106,101,0.9528301796902814,0.0471698108757565,0.0,23.667765966216024
78.0,Node_2,144,135,4,135,5,144,135,4,135,5,Normal,144,135,0.9374999934895833,0.03472222198109568,0.027777777584876547,23.667766025137354
79.0,Node_0,89,88,4,88,0,89,88,4,88,0,Normal,89,88,0.988764033834112,0.0,0.04494381971973237,0.0
80.0,Node_2,712,55,44,55,613,712,55,44,55,613,Distributed_IFA,712,55,0.07724719090274271,0.8609550549705688,0.06179775272219417,2901.668130756936
81.0,Node_3,270,78,13,78,179,270,78,13,78,179,Slow_IFA,270,78,0.2888888878189301,0.6629629605075446,0.04814814796982168,847.3060264458162
82.0,Node_6,1211,44,17,44,1150,1211,44,17,44,1150,IFA,1211,44,0.036333608557940864,0.9496284054916363,0.01403798512465897,5443.586219089156
83.0,Node_7,1165,18,46,18,1101,1165,18,46,18,1101,IFA,1165,18,0.015450643763561677,0.9450643768711893,0.03948497850687984,5211.64211045369
84.0,Node_0,133,129,2,129,2,133,129,2,129,2,Normal,133,129,0.9699248047374075,0.01503759387189779,0.01503759387189779,9.467106404617484
85.0,Node_5,353,53,5,53,295,353,53,5,53,295,Slow_IFA,353,53,0.15014164263415966,0.8356940486240961,0.014164305908882987,1396.3982012245112
86.0,Node_5,557,30,54,30,473,557,30,54,30,473,Distributed_IFA,557,30,0.053859963996660744,0.8491920990140178,0.09694793519398935,2238.9706775067048
87.0,Node_2,173,162,1,162,10,173,162,1,162,10,Normal,173,162,0.936416179558288,0.057803467873968395,0.005780346787396839,47.33553210537789
88.0,Node_3,586,470,29,470,87,586,470,29,470,87,Cache_Pollution,586,470,0.8020477802012836,0.14846416356917377,0.04948805452305793,411.81913099448195
89.0,Node_5,1635,21,46,21,1568,1635,21,46,21,1568,IFA,1635,21,0.012844036689392026,0.9590214061412713,0.028134556557715865,7422.211472486629
90.0,Node_2,573,63,24,63,486,573,63,24,63,486,Distributed_IFA,573,63,0.10994764378717689,0.8481675377867931,0.04188481668082929,2300.5068696042463
91.0,Node_3,353,56,18,56,279,353,56,18,56,279,Slow_IFA,353,56,0.15864022617948945,0.7903682697156706,0.050991501271978754,1320.6613496326731
92.0,Node_7,458,73,52,73,333,458,73,52,73,333,Distributed_IFA,458,73,0.15938864594019947,0.727074234220362,0.1135371176560325,1576.273224778845
93.0,Node_1,174,163,1,163,10,174,163,1,163,10,Normal,174,163,0.9367816038116,0.05747126403752147,0.005747126403752147,47.33553210695039
94.0,Node_6,174,173,3,173,0,174,173,3,173,0,Normal,174,173,0.9942528678491215,0.0,0.01724137921125644,0.0
95.0,Node_5,546,71,28,71,447,546,71,28,71,447,Distributed_IFA,546,71,0.13003662979846772,0.8186813171819024,0.05128205118812811,2115.8982934657456
96.0,Node_0,508,59,51,59,398,508,59,51,59,398,Distributed_IFA,508,59,0.11614173205483912,0.7834645653868808,0.10039370058977617,1883.954184975377
97.0,Node_3,1179,46,48,46,1085,1179,46,48,46,1085,IFA,1179,46,0.03901611531890066,0.92027141567407,0.04071246815885286,5135.905258764659
98.0,Node_1,120,110,5,110,5,120,110,5,110,5,Normal,120,110,0.9166666590277779,0.04166666631944445,0.04166666631944445,23.66776599226545
99.0,Node_6,914,40,100,40,774,914,40,100,40,774,IFA,914,40,0.043763676100915014,0.8468271325527056,0.10940919025228754,3663.770202125609
100.0,Node_2,187,171,0,171,16,187,171,0,171,16,Normal,187,171,0.9144384977837514,0.0855614968686551,0.0,75.73685140137998
101.0,Node_4,1579,12,40,12,1527,1579,12,40,12,1527,Pulsing_IFA,1579,12,0.0075997466702978165,0.9670677637953972,0.02533248890099272,7228.1357896946665
102.0,Node_3,1670,10,13,10,1647,1670,10,13,10,1647,Pulsing_IFA,1670,10,0.005988023948510165,0.9862275443196241,0.007784431133063215,7796.162178151897
103.0,Node_5,168,162,0,162,6,168,162,0,162,6,Normal,168,162,0.9642857085459184,0.03571428550170068,0.0,28.40131925834073
104.0,Node_9,96,93,2,93,1,96,93,2,93,1,Normal,96,93,0.9687499899088543,0.010416666558159723,0.020833333116319446,4.733553188591522
105.0,Node_5,42,39,27,39,0,42,39,27,39,0,Pulsing_IFA,42,39,0.9285714064625856,0.0,0.6428571275510208,0.0
106.0,Node_8,184,167,3,167,14,184,167,3,167,14,Normal,184,167,0.907608690719518,0.07608695610822307,0.016304347737476372,66.26974497042949
107.0,Node_3,512,47,57,47,408,512,47,57,47,408,Distributed_IFA,512,47,0.09179687482070922,0.7968749984436035,0.11132812478256225,1931.2897172908918
108.0,Node_6,269,74,12,74,183,269,74,12,74,183,Slow_IFA,269,74,0.2750929357803237,0.6802973952405301,0.044609665261674106,866.2402393153602
109.0,Node_2,125,114,4,114,7,125,114,4,114,7,Normal,125,114,0.9119999927040001,0.055999999552,0.031999999744,33.134872400216594
110.0,Node_1,361,60,10,60,291,361,60,10,60,291,Slow_IFA,361,60,0.16620498568918288,0.8060941805925369,0.027700830948197145,1377.463988413026
111.0,Node_5,326,248,28,248,50,326,248,28,248,50,Cache_Pollution,326,248,0.7607361939854718,0.15337423265836125,0.0858895702886823,236.67766116896328
112.0,Node_0,199,198,1,198,0,199,198,1,198,0,Normal,199,198,0.9949748693719856,0.0,0.005025125602888816,0.0
113.0,Node_1,1612,13,8,13,1591,1612,13,8,13,1591,Pulsing_IFA,1612,13,0.008064516124029456,0.9869727041023741,0.004962779153248896,7531.0831968260045
114.0,Node_1,98,97,4,97,0,98,97,4,97,0,Normal,98,97,0.9897959082673887,0.0,0.040816326114119124,0.0
115.0,Node_3,1807,13,36,13,1758,1807,13,36,13,1758,Pulsing_IFA,1807,13,0.007194244600335227,0.9728832313376407,0.01992252350862063,8321.586587621892
116.0,Node_9,980,46,31,46,903,980,46,31,46,903,IFA,980,46,0.046938775462307375,0.9214285704883382,0.03163265302894627,4274.398569461498
117.0,Node_6,124,114,3,114,7,124,114,3,114,7,Normal,124,114,0.9193548312955255,0.05645161244797087,0.024193548191987515,33.13487239807886
118.0,Node_8,1431,49,96,49,1286,1431,49,96,49,1286,IFA,1431,49,0.03424178893484151,0.8986722565348202,0.06708595383152623,6087.349459684673
119.0,Node_5,200,188,2,188,10,200,188,2,188,10,Normal,200,188,0.9399999953,0.04999999975,0.00999999995,47.33553214231602
120.0,Node_3,200,196,4,196,0,200,196,4,196,0,Normal,200,196,0.9799999951,0.0,0.0199999999,0.0
121.0,Node_1,370,100,17,100,253,370,100,17,100,253,Slow_IFA,370,100,0.2702702695398101,0.6837837819357195,0.04594594582176771,1197.588965951813
122.0,Node_5,83,78,0,78,5,83,78,0,78,5,Normal,83,78,0.9397590248221804,0.06024096312962695,0.0,23.66776590434303
123.0,Node_2,378,302,12,302,64,378,302,12,302,64,Cache_Pollution,378,302,0.7989417968281963,0.16931216886425351,0.031746031662047536,302.9474064241113
124.0,Node_2,167,151,3,151,13,167,151,3,151,13,Normal,167,151,0.9041916113521461,0.07784431091111191,0.017964071748718134,61.53619172421159
125.0,Node_4,308,84,5,84,219,308,84,5,84,219,Slow_IFA,308,84,0.27272727184179457,0.711038958730393,0.016233766181059203,1036.6481557342208
126.0,Node_3,546,433,16,433,97,546,433,16,433,97,Cache_Pollution,546,433,0.7930402915878383,0.17765567733030097,0.02930402925035892,459.154663235296
127.0,Node_1,91,85,1,85,5,91,85,1,85,5,Normal,91,85,0.9340659238014734,0.05494505434126314,0.010989010868252628,23.667765929411498
128.0,Node_9,163,158,0,158,5,163,158,0,158,5,Normal,163,158,0.9693251474274531,0.03067484643757763,0.0,23.667766044295817
129.0,Node_8,1621,46,90,46,1485,1621,46,90,46,1485,IFA,1621,46,0.0283775447079719,0.916101171550832,0.05552128312429285,7029.326553944146
130.0,Node_1,461,360,19,360,82,461,360,19,360,82,Cache_Pollution,461,360,0.7809110612127743,0.17787418616513193,0.04121475045289642,388.1513646657712
131.0,Node_8,185,178,3,178,4,185,178,3,178,4,Normal,185,178,0.9621621569612856,0.02162162150474799,0.016216216128560994,18.934212849250372
132.0,Node_9,1391,14,83,14,1294,1391,14,83,14,1294,IFA,1391,14,0.010064701646251112,0.9302659950177814,0.05966930261706017,6125.217885438318
133.0,Node_2,79,73,4,73,2,79,73,4,73,2,Normal,79,73,0.9240506212145492,0.025316455375741072,0.050632910751482144,9.467106355961945
134.0,Node_9,323,85,18,85,220,323,85,18,85,220,Slow_IFA,323,85,0.2631578939221118,0.6811145489748776,0.05572755400703544,1041.381709113769
135.0,Node_6,108,105,4,105,0,108,105,4,105,0,Normal,108,105,0.9722222132201647,0.0,0.037037036694101515,0.0
136.0,Node_8,441,352,27,352,62,441,352,27,352,62,Cache_Pollution,441,352,0.7981859392331385,0.14058956884220053,0.06122448965708732,293.4803000842726
137.0,Node_4,163,157,2,157,4,163,157,2,157,4,Normal,163,157,0.9631901781399376,0.024539877150062103,0.012269938575031052,18.934212835436654
138.0,Node_3,169,153,2,153,14,169,153,2,153,14,Normal,169,153,0.905325438430027,0.08284023619621163,0.01183431945660166,66.26974493846248
139.0,Node_7,314,85,15,85,214,314,85,15,85,214,Slow_IFA,314,85,0.2707006360805712,0.6815286602499088,0.04777070048480669,1012.9803896844126
140.0,Node_2,177,171,2,171,4,177,171,2,171,4,Normal,177,171,0.9661016894570527,0.022598869928819945,0.011299434964409973,18.934212844624515
141.0,Node_2,1909,31,90,31,1788,1909,31,90,31,1788,IFA,1909,31,0.016238868509041975,0.9366160288440984,0.047145102123025084,8463.593184930547
142.0,Node_3,1457,32,85,32,1340,1457,32,85,32,1340,IFA,1457,32,0.021962937527822277,0.9196980089775579,0.058339052808277926,6342.961334431712
143.0,Node_1,178,175,4,175,0,178,175,4,175,0,Normal,178,175,0.9831460618924379,0.0,0.022471909986112867,0.0
144.0,Node_7,100,97,2,97,1,100,97,2,97,1,Normal,100,97,0.9699999903000002,0.0099999999,0.0199999998,4.7335531905638355
145.0,Node_8,2558,11,34,11,2513,2558,11,34,11,2513,Pulsing_IFA,2558,11,0.0043002345565675395,0.982408130968566,0.013291634083936032,11895.41928219083
146.0,Node_7,493,397,27,397,69,493,397,27,397,69,Cache_Pollution,493,397,0.8052738320379841,0.13995943176478817,0.054766734168830156,326.61517275255096
147.0,Node_0,194,175,4,175,15,194,175,4,175,15,Normal,194,175,0.9020618510202998,0.0773195872303114,0.020618556594749708,71.00329820249414
148.0,Node_9,447,325,26,325,96,447,325,26,325,96,Cache_Pollution,447,325,0.7270693496038717,0.2147651001906821,0.058165547968309736,454.4211098217372
149.0,Node_6,623,69,22,69,532,623,69,22,69,532,Distributed_IFA,623,69,0.11075441394742469,0.8539325828989847,0.03531300154845425,2518.250318520328
150.0,Node_1,110,100,3,100,7,110,100,3,100,7,Normal,110,100,0.9090909008264464,0.06363636305785125,0.02727272702479339,33.134872364069466
151.0,Node_2,364,266,12,266,86,364,266,12,266,86,Cache_Pollution,364,266,0.730769228761623,0.23626373561466008,0.03296703287646419,407.08557734097866
152.0,Node_5,2729,12,47,12,2670,2729,12,47,12,2670,Pulsing_IFA,2729,12,0.004397215095493875,0.9783803587473873,0.017222425790684344,12638.587140560096
153.0,Node_3,1889,38,56,38,1795,1889,38,56,38,1795,IFA,1889,38,0.020116463726777944,0.9502382207780633,0.029645314965778023,8496.72805753136
154.0,Node_4,528,79,44,79,405,528,79,44,79,405,Distributed_IFA,528,79,0.1496212118378386,0.767045453092717,0.08333333317550505,1917.0890577183934
155.0,Node_2,194,188,0,188,6,194,188,0,188,6,Normal,194,188,0.9690721599532363,0.030927834892124563,0.0,28.401319280997654
156.0,Node_1,136,129,2,129,5,136,129,2,129,5,Normal,136,129,0.948529404790225,0.036764705612024225,0.01470588224480969,23.667766015469148
157.0,Node_0,180,169,2,169,9,180,169,2,169,9,Normal,180,169,0.9388888836728395,0.04999999972222222,0.011111111049382717,42.60197890441664
158.0,Node_6,123,122,4,122,0,123,122,4,122,0,Normal,123,122,0.991869910635204,0.0,0.032520324938859146,0.0
159.0,Node_9,115,109,1,109,5,115,109,1,109,5,Normal,115,109,0.9478260787145558,0.043478260491493385,0.008695652098298678,23.667765983690174
160.0,Node_1,134,129,4,129,1,134,129,4,129,1,Normal,134,129,0.9626865599799511,0.007462686511472489,0.029850746045889956,4.733553202574344
161.0,Node_8,679,27,46,27,606,679,27,46,27,606,Distributed_IFA,679,27,0.039764359293425096,0.8924889530302077,0.06774668620361313,2868.5332579423725
162.0,Node_1,168,159,2,159,7,168,159,2,159,7,Normal,168,159,0.9464285657950681,0.04166666641865079,0.011904761833900228,33.13487246806419
163.0,Node_6,545,59,59,59,427,545,59,59,59,427,Distributed_IFA,545,59,0.10825688053530848,0.7834862370945207,0.10825688053530848,2021.2272288743563
164.0,Node_7,159,143,1,143,15,159,143,1,143,15,Normal,159,143,0.8993710635259682,0.09433962204817847,0.006289308136545232,71.00329812192889
165.0,Node_1,195,181,0,181,14,195,181,0,181,14,Normal,195,181,0.928205123445102,0.07179487142669297,0.0,66.2697449907463
166.0,Node_9,492,384,28,384,80,492,384,28,384,80,Cache_Pollution,492,384,0.7804878032916914,0.16260162568576905,0.05691056899001917,378.684258262266
167.0,Node_7,159,156,4,156,0,159,156,4,156,0,Normal,159,156,0.9811320693010562,0.0,0.02515723254618093,0.0
168.0,Node_4,181,171,5,171,5,181,171,5,171,5,Normal,181,171,0.9447513759958488,0.0276243092396447,0.0276243092396447,23.6677660587357
169.0,Node_2,552,56,37,56,459,552,56,37,56,459,Distributed_IFA,552,56,0.10144927517853393,0.8315217376240548,0.06702898538581706,2172.7009322597573
170.0,Node_3,11,10,16,10,0,11,10,16,10,0,Pulsing_IFA,11,10,0.9090908264462886,0.0,1.4545453223140616,0.0
171.0,Node_1,162,146,1,146,15,162,146,1,146,15,Normal,162,146,0.9012345623380583,0.09259259202103338,0.006172839468068892,71.00329813019854
172.0,Node_6,171,156,1,156,14,171,156,1,156,14,Normal,171,156,0.9122806964194111,0.08187134455045997,0.005847953182175712,66.26974494304878
173.0,Node_1,110,100,0,100,10,110,100,0,100,10,Normal,110,100,0.9090909008264464,0.09090909008264464,0.0,47.335531948670656
174.0,Node_5,98,97,3,97,0,98,97,3,97,0,Normal,98,97,0.9897959082673887,0.0,0.03061224458558934,0.0
175.0,Node_0,34,32,35,32,0,34,32,35,32,0,Pulsing_IFA,34,32,0.9411764429065753,0.0,1.0294117344290667,0.0
176.0,Node_1,135,122,1,122,12,135,122,1,122,12,Normal,135,122,0.9037036970096023,0.08888888823045268,0.007407407352537723,56.802638434032126
177.0,Node_1,130,128,0,128,2,130,128,0,128,2,Normal,130,128,0.9846153770414202,0.01538461526627219,0.0,9.46710640297484
178.0,Node_8,582,425,27,425,130,582,425,27,425,130,Cache_Pollution,582,425,0.7302405485734699,0.22336769721070843,0.04639175249760867,615.3619198695949
179.0,Node_1,107,105,3,105,0,107,105,3,105,0,Normal,107,105,0.9813084020438467,0.0,0.028037382915538478,0.0
180.0,Node_5,773,77,28,77,668,773,77,28,77,668,Distributed_IFA,773,77,0.09961190155289534,0.8641655874978453,0.036222509655598305,3162.0135588262037
181.0,Node_0,193,191,4,191,0,193,191,4,191,0,Normal,193,191,0.9896373005718274,0.0,0.020725388493650836,0.0
182.0,Node_1,282,23,6,23,253,282,23,6,23,253,Slow_IFA,282,23,0.0815602833987224,0.8971631173859465,0.02127659566923193,1197.5889649417707
183.0,Node_6,162,148,2,148,12,162,148,2,148,12,Normal,162,148,0.913580241274196,0.0740740736168267,0.012345678936137784,56.80263850415884
184.0,Node_4,343,248,23,248,72,343,248,23,248,72,Cache_Pollution,343,248,0.7230320678628803,0.2099125358311588,0.06705539339050906,340.8158321351223
185.0,Node_6,549,414,14,414,121,549,414,14,414,121,Cache_Pollution,549,414,0.7540983592821524,0.22040072819599138,0.02550091070036264,572.7599407425448
186.0,Node_5,546,76,22,76,448,546,76,22,76,448,Distributed_IFA,546,76,0.13919413893920488,0.8205128190100498,0.040293040219243514,2120.6318466949756
187.0,Node_6,164,150,1,150,13,164,150,1,150,13,Normal,164,150,0.914634140764426,0.07926829219958359,0.006097560938429507,61.5361917174711
